year;month;day;dep_time;sched_dep_time;dep_delay;arr_time;sched_arr_time;arr_delay;carrier;flight;tailnum;origin;dest;air_time;distance;hour;minute;time_hour
2013; 6;29;1022;1025; -3;1209;1222;-13;US; 604;N652AW;EWR;PHX;271;2133;10;25;2013-06-29T14:00:00Z
2013; 2;19;1158;1200; -2;1424;1438;-14;DL;1947;N695DL;LGA;ATL;119; 762;12; 0;2013-02-19T17:00:00Z
2013;12;17; 902; 910; -8;1234;1025;NA;B6;1634;N296JB;JFK;BTV;NA; 266; 9;10;2013-12-17T14:00:00Z
2013; 2; 9;NA;1235;NA;NA;1415;NA;MQ;4404;N853MQ;JFK;RDU;NA; 427;12;35;2013-02-09T17:00:00Z
2013; 7;12;1706;1555; 71;1932;1744;108;B6;1105;N306JB;JFK;ORD;104; 740;15;55;2013-07-12T19:00:00Z
2013; 9; 8;1854;1815; 39;2156;2135; 21;AA;1611;N3JBAA;LGA;MIA;136;1096;18;15;2013-09-08T22:00:00Z
2013;12;30;1434;1408; 26;1656;1613; 43;EV;4100;N41104;EWR;MEM;184; 946;14; 8;2013-12-30T19:00:00Z
2013;12;15;1622;1520; 62;1838;1700; 98;MQ;3493;N814MQ;LGA;CLE; 76; 419;15;20;2013-12-15T20:00:00Z
2013;11;22; 752; 800; -8;1049;1111;-22;B6;1511;N629JB;EWR;RSW;149;1068; 8; 0;2013-11-22T13:00:00Z
2013; 2; 8; 838; 830;  8;1005; 950; 15;WN; 369;N762SW;EWR;MDW;109; 711; 8;30;2013-02-08T13:00:00Z
2013; 4; 7; 655; 655;  0;1000;1015;-15;UA;1029;N76516;EWR;LAX;345;2454; 6;55;2013-04-07T10:00:00Z
2013; 6;20;1347;1349; -2;1448;1504;-16;B6; 118;N229JB;JFK;BOS; 35; 187;13;49;2013-06-20T17:00:00Z
2013; 8;22;2240;2140; 60;2341;2259; 42;EV;4372;N11551;EWR;DCA; 36; 199;21;40;2013-08-23T01:00:00Z
2013;12;31; 555; 600; -5; 835; 831;  4;DL; 904;N3741S;LGA;ATL;137; 762; 6; 0;2013-12-31T11:00:00Z
2013; 1;10;1248;1250; -2;1537;1550;-13;DL;1685;N345NW;LGA;MCO;128; 950;12;50;2013-01-10T17:00:00Z
2013; 9;28;1626;1632; -6;1751;1810;-19;EV;3825;N13903;EWR;GSO; 62; 445;16;32;2013-09-28T20:00:00Z
2013; 1;24;1632;1629;  3;1928;2005;-37;UA;1078;N73259;EWR;SAT;221;1569;16;29;2013-01-24T21:00:00Z
2013; 6;20;2125;2129; -4;2224;2242;-18;EV;4695;N14902;EWR;MHT; 40; 209;21;29;2013-06-21T01:00:00Z
2013;12; 6;1626;1630; -4;2041;2011; 30;US; 629;N570UW;JFK;PHX;345;2153;16;30;2013-12-06T21:00:00Z
2013;10;29;1403;1410; -7;1627;1637;-10;FL; 349;N948AT;LGA;ATL;115; 762;14;10;2013-10-29T18:00:00Z
2013; 2; 8;1300;1255;  5;1617;1605; 12;UA;1612;N17730;EWR;DFW;204;1372;12;55;2013-02-08T17:00:00Z
2013; 7; 4; 618; 618;  0; 838; 856;-18;UA;1289;N37298;EWR;MCO;124; 937; 6;18;2013-07-04T10:00:00Z
2013; 9;26;1249;1200; 49;1348;1310; 38;WN; 295;N691WN;EWR;MDW;102; 711;12; 0;2013-09-26T16:00:00Z
2013;12;18;1257;1300; -3;1429;1428;  1;UA;1734;N21108;EWR;ORD;124; 719;13; 0;2013-12-18T18:00:00Z
2013; 8;29;2121;1900;141;2355;2240; 75;DL;1465;N709TW;JFK;SFO;308;2586;19; 0;2013-08-29T23:00:00Z
2013; 8; 2; 631; 620; 11; 833; 843;-10;DL;1743;N655DL;JFK;ATL;100; 760; 6;20;2013-08-02T10:00:00Z
2013; 1;30;NA;1329;NA;NA;1526;NA;EV;3840;N11551;EWR;MEM;NA; 946;13;29;2013-01-30T18:00:00Z
2013; 3;18;1525;1329;116;1607;1432; 95;EV;4088;N16911;EWR;ALB; 28; 143;13;29;2013-03-18T17:00:00Z
2013; 3; 3; 655; 700; -5; 900; 933;-33;FL; 346;N892AT;LGA;ATL;106; 762; 7; 0;2013-03-03T12:00:00Z
2013; 6;22;1041;1055;-14;1325;1358;-33;B6; 971;N504JB;LGA;FLL;148;1076;10;55;2013-06-22T14:00:00Z
2013; 3;19; 825; 730; 55; 931; 843; 48;B6;  44;N517JB;JFK;SYR; 43; 209; 7;30;2013-03-19T11:00:00Z
2013; 3;10;2125;2129; -4;2231;2231;  0;EV;4350;N13979;EWR;DCA; 41; 199;21;29;2013-03-11T01:00:00Z
2013; 4; 5;2241;2245; -4;2351;   1;-10;B6; 608;N198JB;JFK;PWM; 49; 273;22;45;2013-04-06T02:00:00Z
2013; 9; 6;1827;1830; -3;2024;2112;-48;B6; 711;N624JB;JFK;LAS;272;2248;18;30;2013-09-06T22:00:00Z
2013; 3;31;2058;2100; -2;2240;2255;-15;MQ;4573;N713MQ;LGA;DTW; 80; 502;21; 0;2013-04-01T01:00:00Z
2013;11; 7; 712; 714; -2; 953;1007;-14;UA;1592;N24212;EWR;MCO;144; 937; 7;14;2013-11-07T12:00:00Z
2013; 7;13;1533;1500; 33;1816;1758; 18;B6;  83;N655JB;JFK;MCO;130; 944;15; 0;2013-07-13T19:00:00Z
2013; 3;30;1802;1810; -8;2050;2130;-40;AA;1611;N3EJAA;LGA;MIA;145;1096;18;10;2013-03-30T22:00:00Z
2013;10;22;1535;1450; 45;1833;1755; 38;UA; 395;N489UA;EWR;FLL;159;1065;14;50;2013-10-22T18:00:00Z
2013; 4;23; 624; 630; -6; 824; 820;  4;MQ;4599;N0EGMQ;LGA;MSP;151;1020; 6;30;2013-04-23T10:00:00Z
2013; 4;30; 551; 600; -9; 738; 800;-22;DL; 731;N340NB;LGA;DTW; 84; 502; 6; 0;2013-04-30T10:00:00Z
2013; 4; 2; 625; 629; -4; 825; 825;  0;US;1507;N193UW;EWR;CLT; 98; 529; 6;29;2013-04-02T10:00:00Z
2013; 6; 5;1141;1046; 55;1256;1205; 51;EV;4510;N19554;EWR;MKE;119; 725;10;46;2013-06-05T14:00:00Z
2013; 3;28; 957;1000; -3;1217;1234;-17;DL;1847;N3739P;LGA;ATL;105; 762;10; 0;2013-03-28T14:00:00Z
2013;12;27; 556; 551;  5; 845; 900;-15;UA; 274;N556UA;EWR;LAX;304;2454; 5;51;2013-12-27T10:00:00Z
2013; 5;21;1758;1800; -2;2009;2025;-16;MQ;4413;N721MQ;LGA;XNA;164;1147;18; 0;2013-05-21T22:00:00Z
2013; 3; 5;1646;1645;  1;2001;2005; -4;AA; 181;N323AA;JFK;LAX;341;2475;16;45;2013-03-05T21:00:00Z
2013; 8; 8;1204;1200;  4;1358;1358;  0;EV;4302;N11155;EWR;MCI;157;1092;12; 0;2013-08-08T16:00:00Z
2013; 5;21;1544;1545; -1;1725;1745;-20;MQ;4146;N690MQ;JFK;CMH; 71; 483;15;45;2013-05-21T19:00:00Z
2013;12; 4;2156;2110; 46;NA;2306;NA;EV;4885;N754EV;LGA;ILM;NA; 500;21;10;2013-12-05T02:00:00Z
2013; 5;10; 601; 604; -3; 828; 853;-25;UA;1506;N37420;EWR;LAS;295;2227; 6; 4;2013-05-10T10:00:00Z
2013;10;25;1726;1712; 14;2008;2002;  6;UA; 246;N815UA;EWR;DFW;185;1372;17;12;2013-10-25T21:00:00Z
2013; 2;11;1107;1114; -7;1258;1315;-17;DL;1031;N361NB;LGA;DTW; 90; 502;11;14;2013-02-11T16:00:00Z
2013; 5; 9;1804;1805; -1;2047;2107;-20;UA;1523;N23707;EWR;DFW;190;1372;18; 5;2013-05-09T22:00:00Z
2013; 5;23;1115;1125;-10;1354;1427;-33;UA; 703;N505UA;JFK;LAX;324;2475;11;25;2013-05-23T15:00:00Z
2013; 4;25;2020;2025; -5;2323;2337;-14;B6; 801;N644JB;JFK;FLL;147;1069;20;25;2013-04-26T00:00:00Z
2013; 7;24; 711; 715; -4; 945; 958;-13;UA; 312;N514UA;EWR;SNA;314;2434; 7;15;2013-07-24T11:00:00Z
2013;10; 8; 649; 655; -6; 835; 840; -5;MQ;3599;N518MQ;LGA;MSP;144;1020; 6;55;2013-10-08T10:00:00Z
2013;11;26; 654; 700; -6; 826; 850;-24;AA; 305;N4XUAA;LGA;ORD;129; 733; 7; 0;2013-11-26T12:00:00Z
2013; 5;30;2101;2100;  1;2324;2338;-14;B6; 399;N658JB;LGA;MCO;125; 950;21; 0;2013-05-31T01:00:00Z
2013; 3;28; 808; 810; -2;1014;1030;-16;FL; 346;N925AT;LGA;ATL;105; 762; 8;10;2013-03-28T12:00:00Z
2013;10;24; 754; 759; -5;1103;1049; 14;AA;1111;N3JLAA;LGA;DFW;218;1389; 7;59;2013-10-24T11:00:00Z
2013; 8;29;1948;1935; 13;2316;2250; 26;AA;1709;N3APAA;LGA;MIA;147;1096;19;35;2013-08-29T23:00:00Z
2013; 8;19;1154;1155; -1;1436;1455;-19;AA;2147;N3DAAA;EWR;MIA;143;1085;11;55;2013-08-19T15:00:00Z
2013; 2;19;1302;1207; 55;1419;1320; 59;EV;4701;N16976;EWR;ORF; 58; 284;12; 7;2013-02-19T17:00:00Z
2013; 5;12;1431;1300; 91;1535;1431; 64;UA;1264;N26123;EWR;ORD;109; 719;13; 0;2013-05-12T17:00:00Z
2013; 8; 2; 950; 955; -5;1153;1213;-20;9E;4060;N8790A;LGA;DAY; 86; 549; 9;55;2013-08-02T13:00:00Z
2013;12;16;1308;1100;128;1416;1210;126;MQ;3230;N546MQ;JFK;DCA; 52; 213;11; 0;2013-12-16T16:00:00Z
2013;11; 2; 555; 601; -6; 710; 722;-12;UA;1198;N27239;LGA;ORD;113; 733; 6; 1;2013-11-02T10:00:00Z
2013; 4;15;1355;1359; -4;1621;1629; -8;DL;2247;N687DL;LGA;ATL;111; 762;13;59;2013-04-15T17:00:00Z
2013; 2; 1;1440;1445; -5;1707;1710; -3;MQ;4669;N520MQ;LGA;ATL;116; 762;14;45;2013-02-01T19:00:00Z
2013; 8;22; 748; 755; -7;1000; 955;  5;MQ;3478;N852MQ;LGA;DTW; 82; 502; 7;55;2013-08-22T11:00:00Z
2013; 3;31; 723; 725; -2; 845; 900;-15;WN; 842;N373SW;EWR;BNA;120; 748; 7;25;2013-03-31T11:00:00Z
2013; 5;15;1356;1401; -5;1500;1515;-15;B6;1002;N247JB;JFK;BOS; 42; 187;14; 1;2013-05-15T18:00:00Z
2013; 8;19; 628; 630; -2; 843; 831; 12;EV;4150;N15574;EWR;CVG;106; 569; 6;30;2013-08-19T10:00:00Z
2013;10; 5; 556; 600; -4; 813; 840;-27;B6;  27;N629JB;EWR;MCO;119; 937; 6; 0;2013-10-05T10:00:00Z
2013; 9;23;1720;1429;171;1838;1548;170;B6; 286;N283JB;JFK;ROC; 48; 264;14;29;2013-09-23T18:00:00Z
2013; 1;22;1019;1021; -2;1342;1342;  0;DL;1903;N906DL;LGA;SRQ;165;1047;10;21;2013-01-22T15:00:00Z
2013; 1;19; 747; 747;  0;1101;1126;-25;B6; 643;N794JB;JFK;SFO;350;2586; 7;47;2013-01-19T12:00:00Z
2013; 2;25; 724; 730; -6; 833; 843;-10;B6;  44;N809JB;JFK;SYR; 48; 209; 7;30;2013-02-25T12:00:00Z
2013; 4;17; 751; 756; -5;1030;1047;-17;B6; 341;N535JB;JFK;SRQ;139;1041; 7;56;2013-04-17T11:00:00Z
2013;11;23; 712; 720; -8;1016;1045;-29;AA;1345;N319AA;JFK;MIA;151;1089; 7;20;2013-11-23T12:00:00Z
2013;12; 6;1819;1705; 74;2104;2006; 58;B6; 305;N634JB;EWR;FLL;143;1065;17; 5;2013-12-06T22:00:00Z
2013;11;15;1846;1850; -4;2227;2200; 27;AA; 119;N3ADAA;EWR;LAX;346;2454;18;50;2013-11-15T23:00:00Z
2013; 5;20;1704;1710; -6;1917;1934;-17;DL;2042;N304DQ;EWR;ATL;102; 746;17;10;2013-05-20T21:00:00Z
2013; 5;16; 920; 900; 20;1229;1210; 19;UA;1192;N38443;EWR;SEA;337;2402; 9; 0;2013-05-16T13:00:00Z
2013; 2;12;1953;1810;103;2257;2130; 87;AA;1611;N3BVAA;LGA;MIA;155;1096;18;10;2013-02-12T23:00:00Z
2013; 1;15;1324;1330; -6;1605;1605;  0;DL;2043;N704X;JFK;ATL;133; 760;13;30;2013-01-15T18:00:00Z
2013;12;21;1727;1729; -2;2037;2115;-38;VX; 193;N848VA;EWR;SFO;348;2565;17;29;2013-12-21T22:00:00Z
2013; 8;12;1758;1800; -2;1943;1950; -7;MQ;3526;N505MQ;LGA;CMH; 73; 479;18; 0;2013-08-12T22:00:00Z
2013; 4;30;1300;1300;  0;1410;1420;-10;WN;2152;N794SW;EWR;BNA;102; 748;13; 0;2013-04-30T17:00:00Z
2013; 1; 5;1444;1430; 14;1751;1815;-24;DL;2126;N712TW;JFK;SFO;342;2586;14;30;2013-01-05T19:00:00Z
2013;12;13;1655;1655;  0;2005;2025;-20;VX; 413;N623VA;JFK;LAX;342;2475;16;55;2013-12-13T21:00:00Z
2013; 2;16;1055;1030; 25;1349;1355; -6;AA; 179;N348AA;JFK;SFO;331;2586;10;30;2013-02-16T15:00:00Z
2013; 7;15;1010;1005;  5;1109;1120;-11;MQ;3611;N534MQ;EWR;ORD; 99; 719;10; 5;2013-07-15T14:00:00Z
2013; 5;26;1217;1218; -1;1429;1446;-17;EV;4679;N14562;EWR;JAX;115; 820;12;18;2013-05-26T16:00:00Z
2013; 9;17;1351;1355; -4;1452;1510;-18;UA;1146;N78509;EWR;BOS; 38; 200;13;55;2013-09-17T17:00:00Z
2013; 3;22;1528;1535; -7;1920;1844; 36;9E;3325;N910XJ;JFK;DFW;219;1391;15;35;2013-03-22T19:00:00Z
2013; 6;14;1153;1200; -7;1431;1455;-24;DL; 863;N717TW;JFK;LAX;318;2475;12; 0;2013-06-14T16:00:00Z
2013;12;21; 559; 600; -1; 707; 717;-10;EV;4600;N13964;EWR;BOS; 42; 200; 6; 0;2013-12-21T11:00:00Z
2013; 7;31;2013;2021; -8;2135;2200;-25;UA;1464;N29717;EWR;CLE; 59; 404;20;21;2013-08-01T00:00:00Z
2013;11;14;1641;1645; -4;1744;1820;-36;MQ;3216;N638MQ;JFK;ORF; 50; 290;16;45;2013-11-14T21:00:00Z
2013; 3;17; 558; 600; -2; 848; 849; -1;B6; 145;N613JB;JFK;PBI;140;1028; 6; 0;2013-03-17T10:00:00Z
2013;12;25;1831;1830;  1;1935;1951;-16;UA;1703;N77510;EWR;BOS; 32; 200;18;30;2013-12-25T23:00:00Z
2013; 2;24;1315;1320; -5;1353;1419;-26;EV;4103;N15910;EWR;BDL; 22; 116;13;20;2013-02-24T18:00:00Z
2013;11;23; 928; 915; 13;1217;1215;  2;UA; 343;N421UA;EWR;MCO;137; 937; 9;15;2013-11-23T14:00:00Z
2013; 9;13;1450;1500;-10;1748;1758;-10;B6; 573;N562JB;EWR;TPA;152; 997;15; 0;2013-09-13T19:00:00Z
2013; 7; 6; 807; 815; -8; 909; 930;-21;MQ;3370;N846MQ;JFK;DCA; 48; 213; 8;15;2013-07-06T12:00:00Z
2013; 5;30;1610;1610;  0;1800;1749; 11;EV;4974;N604QX;LGA;BNA;105; 764;16;10;2013-05-30T20:00:00Z
2013;11;20; 634; 636; -2; 911; 918; -7;UA;1506;N68801;EWR;LAS;309;2227; 6;36;2013-11-20T11:00:00Z
2013; 9;23;1548;1550; -2;1755;1818;-23;9E;3488;N601LR;LGA;MCI;152;1107;15;50;2013-09-23T19:00:00Z
2013; 6;12; 821; 825; -4;1028;1023;  5;B6; 219;N179JB;JFK;CLT; 95; 541; 8;25;2013-06-12T12:00:00Z
2013; 5; 4;1309;1310; -1;1425;1425;  0;EV;4186;N13123;EWR;IAD; 57; 212;13;10;2013-05-04T17:00:00Z
2013;10;10;2244;2245; -1;   4;2356;  8;B6; 108;N265JB;JFK;PWM; 46; 273;22;45;2013-10-11T02:00:00Z
2013; 2;28;1822;1830; -8;2036;2044; -8;EV;5203;N600QX;EWR;DTW; 88; 488;18;30;2013-02-28T23:00:00Z
2013;10;12; 810; 815; -5; 950; 955; -5;MQ;3531;N807MQ;LGA;RDU; 73; 431; 8;15;2013-10-12T12:00:00Z
2013; 9;19;1744;1734; 10;2004;2000;  4;FL; 623;N309AT;LGA;ATL;109; 762;17;34;2013-09-19T21:00:00Z
2013; 1;12; 852; 851;  1;1148;1150; -2;UA;1623;N77430;EWR;LAS;316;2227; 8;51;2013-01-12T13:00:00Z
2013;11;17;1839;1700; 99;2035;1855;100;AA; 199;N3JCAA;JFK;ORD;132; 740;17; 0;2013-11-17T22:00:00Z
2013;11;21;1228;1225;  3;1536;1535;  1;AA;1697;N5FFAA;JFK;MIA;157;1089;12;25;2013-11-21T17:00:00Z
2013; 7;31;  19;2359; 20; 355; 344; 11;B6;1503;N595JB;JFK;SJU;200;1598;23;59;2013-08-01T03:00:00Z
2013; 9;26; 923; 929; -6;1119;1129;-10;MQ;3565;N537MQ;LGA;CLT; 76; 544; 9;29;2013-09-26T13:00:00Z
2013; 7; 5;2044;1935; 69;2157;2117; 40;9E;3385;N901XJ;JFK;BOS; 35; 187;19;35;2013-07-05T23:00:00Z
2013; 4;29;1120;1130;-10;1430;1434; -4;DL;2393;N991DL;LGA;TPA;151;1010;11;30;2013-04-29T15:00:00Z
2013; 6; 7; 814; 815; -1;1036;1047;-11;DL; 914;N339NW;LGA;DEN;213;1620; 8;15;2013-06-07T12:00:00Z
2013; 7; 3;1646;1335;191;1758;1455;183;MQ;3678;N508MQ;EWR;ORD;111; 719;13;35;2013-07-03T17:00:00Z
2013; 4; 7; 555; 600; -5; 840; 852;-12;B6; 371;N589JB;LGA;FLL;147;1076; 6; 0;2013-04-07T10:00:00Z
2013;12;13;1622;1625; -3;1807;1755; 12;MQ;3748;N9EAMQ;EWR;ORD;131; 719;16;25;2013-12-13T21:00:00Z
2013; 8; 5;1506;1510; -4;1635;1635;  0;MQ;3433;N515MQ;JFK;DCA; 52; 213;15;10;2013-08-05T19:00:00Z
2013; 1;10;1823;1805; 18;1941;1935;  6;WN; 389;N259WN;LGA;MDW;112; 725;18; 5;2013-01-10T23:00:00Z
2013; 6;11;1025;1030; -5;1225;1239;-14;DL;2343;N341NB;EWR;ATL; 99; 746;10;30;2013-06-11T14:00:00Z
2013; 2;21;1809;1815; -6;2048;2050; -2;DL; 926;N301DQ;EWR;ATL;114; 746;18;15;2013-02-21T23:00:00Z
2013; 4;25;1112;1108;  4;1436;1412; 24;B6; 673;N784JB;JFK;LAX;348;2475;11; 8;2013-04-25T15:00:00Z
2013; 3;22;2114;2104; 10;  41;2359; 42;UA; 852;N819UA;EWR;IAH;205;1400;21; 4;2013-03-23T01:00:00Z
2013; 8;18;1454;1450;  4;1638;1634;  4;9E;4115;N8696C;JFK;IAD; 50; 228;14;50;2013-08-18T18:00:00Z
2013; 9;10; 753; 758; -5; 955;1020;-25;UA; 561;N534UA;LGA;DEN;217;1620; 7;58;2013-09-10T11:00:00Z
2013; 5;20;1452;1500; -8;1546;1619;-33;US;2179;N754UW;LGA;DCA; 41; 214;15; 0;2013-05-20T19:00:00Z
2013; 8;22;1821;1330;291;2127;1625;302;B6; 505;N556JB;EWR;FLL;147;1065;13;30;2013-08-22T17:00:00Z
2013;11; 9;1540;1548; -8;1804;1816;-12;FL; 559;N920AT;LGA;ATL;121; 762;15;48;2013-11-09T20:00:00Z
2013;12;16; 738; 740; -2; 937; 942; -5;EV;4297;N12921;EWR;DTW; 90; 488; 7;40;2013-12-16T12:00:00Z
2013; 9;29; 703; 710; -7; 946;1025;-39;AA;1345;N320AA;JFK;MIA;129;1089; 7;10;2013-09-29T11:00:00Z
2013; 5;18;2241;2245; -4;2352;   1; -9;B6; 128;N193JB;JFK;BTV; 48; 266;22;45;2013-05-19T02:00:00Z
2013; 1;22;1445;1459;-14;1715;1737;-22;B6; 119;N531JB;JFK;MSY;180;1182;14;59;2013-01-22T19:00:00Z
2013; 1;12;1605;1605;  0;1726;1752;-26;9E;3459;N909XJ;JFK;BNA;109; 765;16; 5;2013-01-12T21:00:00Z
2013; 9; 2; 728; 730; -2;1113;1129;-16;B6;1289;N615JB;EWR;SJU;196;1608; 7;30;2013-09-02T11:00:00Z
2013;11;17;1756;1759; -3;2103;2123;-20;UA; 535;N589UA;JFK;LAX;342;2475;17;59;2013-11-17T22:00:00Z
2013; 1;20;1130;1132; -2;1425;1439;-14;UA;1707;N14242;EWR;TPA;151; 997;11;32;2013-01-20T16:00:00Z
2013; 2; 3; 701; 705; -4;1015;1021; -6;B6; 981;N629JB;JFK;FLL;150;1069; 7; 5;2013-02-03T12:00:00Z
2013; 4;25;1835;1800; 35;2145;2136;  9;UA;1632;N77258;EWR;SFO;341;2565;18; 0;2013-04-25T22:00:00Z
2013; 9;27;1516;1520; -4;1739;1740; -1;MQ;3532;N724MQ;LGA;XNA;160;1147;15;20;2013-09-27T19:00:00Z
2013; 2;13; 622; 625; -3; 931; 934; -3;UA;1410;N39726;LGA;IAH;229;1416; 6;25;2013-02-13T11:00:00Z
2013; 3;16;1206;1205;  1;1501;1520;-19;AA; 743;N543AA;LGA;DFW;211;1389;12; 5;2013-03-16T16:00:00Z
2013; 4;11;2319;2155; 84; 204;  48; 76;B6;  35;N504JB;JFK;PBI;137;1028;21;55;2013-04-12T01:00:00Z
2013; 8;28;1312;1233; 39;1552;1345;127;UA;1146;N23721;EWR;BOS; 38; 200;12;33;2013-08-28T16:00:00Z
2013; 1;30;1441;1359; 42;1544;1509; 35;EV;4523;N21129;EWR;BTV; 43; 266;13;59;2013-01-30T18:00:00Z
2013; 2; 6; 542; 530; 12; 828; 831; -3;UA;1251;N54711;LGA;IAH;205;1416; 5;30;2013-02-06T10:00:00Z
2013; 3;24;2020;2025; -5;2134;2149;-15;DL; 985;N333NW;JFK;BOS; 33; 187;20;25;2013-03-25T00:00:00Z
2013; 2; 5;1908;1910; -2;2115;2055; 20;MQ;4569;N829MQ;LGA;RDU; 77; 431;19;10;2013-02-06T00:00:00Z
2013; 5;27;1558;1600; -2;1909;1915; -6;DL;1461;N624AG;JFK;LAX;326;2475;16; 0;2013-05-27T20:00:00Z
2013; 5;16;1211;1214; -3;1458;1520;-22;UA;1644;N17719;EWR;SNA;326;2434;12;14;2013-05-16T16:00:00Z
2013; 3;16;1804;1440;204;2118;1751;207;DL;2079;N910DE;LGA;FLL;158;1076;14;40;2013-03-16T18:00:00Z
